NUTS_ID,native,country,maa,name_official,regime_postsoc,regime_fi,regime_en
AT,Österreich,Austria,Itävalta,Republic of Austria,western,Läntinen Keski-Eurooppa,Western Central Europe
BE,Belgique/België,Belgium,Belgia,Kingdom of Belgium,western,Läntinen Keski-Eurooppa,Western Central Europe
BG,България,Bulgaria,Bulgaria,Republic of Bulgaria,postsocialist,Itä-Eurooppa,Eastern Europe
CH,Suisse,Switzerland,Sveitsi,Swiss Confederation,western,Läntinen Keski-Eurooppa,Western Central Europe
CY,Κύπρος ,Cyprus,Kypros,Republic of Cyprus,western,Etelä-Eurooppa,Southern Europe
CZ,Česká republika,Czech Republic,Tsekki,Czech Republic,postsocialist,Itä-Eurooppa,Eastern Europe
DE,Deutschland,Germany,Saksa,Federal Republic of Germany,western,Läntinen Keski-Eurooppa,Western Central Europe
DK,Danmark,Denmark,Tanska,Kingdom of Denmark,western,Pohjoismaat,Nordic Countries
EE,Eesti,Estonia,Viro,Republic of Estonia,postsocialist,Itä-Eurooppa,Eastern Europe
EL,Ελλάδα,Greece,Espanja,Hellenic Republic,western,Etelä-Eurooppa,Southern Europe
ES,España,Spain,Suomi,Kingdom of Spain,western,Pohjoismaat,Nordic Countries
FI,Suomi/Finland,Finland,Ranska,Republic of Finland,western,Läntinen Keski-Eurooppa,Western Central Europe
FR,France,France,Kreikka,French Republic,western,Etelä-Eurooppa,Southern Europe
HU,Magyarország,Hungary,Unkari,Hungary,postsocialist,Itä-Eurooppa,Eastern Europe
IE,Éire/Ireland,Ireland,Irlanti,Ireland,western,Anglosaksiset maat,Anglosaxon Countries
IS,Ísland,Iceland,Islanti,Republic of Iceland,western,Pohjoismaat,Nordic Countries
IT,Italia,Italy,Italia,Italian Republic,western,Etelä-Eurooppa,Southern Europe
LT,Lietuva,Lithuania,Liettua,Republic of Lithuania,postsocialist,Itä-Eurooppa,Eastern Europe
LU,Luxembourg,Luxembourg,Luxemburg,Grand Duchy of Luxembourg,western,Läntinen Keski-Eurooppa,Western Central Europe
LV,Latvija,Latvia,Latvia,Republic of Latvia,postsocialist,Itä-Eurooppa,Eastern Europe
MT,Malta,Malta,Malta,Republic of Malta,western,Etelä-Eurooppa,Southern Europe
NL,Nederland,Netherlands,Alankomaat,Kingdom of the Netherlands,western,Läntinen Keski-Eurooppa,Western Central Europe
NO,Norge,Norway,Norja,Norway,western,Pohjoismaat,Nordic Countries
PL,Polska,Poland,Puola,Republic of Poland,postsocialist,Itä-Eurooppa,Eastern Europe
PT,Portugal,Portugal,Portugali,Portuguese Republic,western,Etelä-Eurooppa,Southern Europe
RO,România,Romania,Romania,Romania,postsocialist,Itä-Eurooppa,Eastern Europe
SE,Sverige,Sweden,Ruotsi,Kingdom of Sweden,western,Pohjoismaat,Nordic Countries
SI,Slovenija,Slovenia,Slovenia,Republic of Slovenia,postsocialist,Itä-Eurooppa,Eastern Europe
SK,Slovensko,Slovakia,Slovakia,Slovak Republic,postsocialist,Itä-Eurooppa,Eastern Europe
UK,United Kingdom,United Kingdom,Iso-Britannia,United Kingdom of Great Britain and Northern Ireland,western,Anglosaksiset maat,Anglosaxon Countries
HR,Republika Hrvatska,Croatia,Kroatia,Republic of Croatia,postsocialist,Itä-Eurooppa,Eastern Europe
