RB020,maa,country,regime,regime_en
AT,Itävalta,Austria,Läntinen Keski-Eurooppa,Western Central Europe
BE,Belgia,Belgium,Läntinen Keski-Eurooppa,Western Central Europe
BG,Bulgaria,Bulgaria,Itä-Eurooppa,Eastern Europe
CY,Kypros,Cyprus,Etelä-Eurooppa,Southern Europe
CZ,Tsekki,Czech Republic,Itä-Eurooppa,Eastern Europe
DE,Saksa,Germany,Läntinen Keski-Eurooppa,Western Central Europe
DK,Tanska,Denmark,Pohjoismaat,Nordic Countries
EE,Viro,Estonia,Itä-Eurooppa,Eastern Europe
ES,Espanja,Spain,Etelä-Eurooppa,Southern Europe
FI,Suomi,Finland,Pohjoismaat,Nordic Countries
GR,Kreikka,Greece,Etelä-Eurooppa,Southern Europe
HU,Unkari,Hungary,Itä-Eurooppa,Eastern Europe
IE,Irlanti,Ireland,Anglosaksiset maat,Anglosaxon Countries
IS,Islanti,Iceland,Pohjoismaat,Nordic Countries
IT,Italia,Italy,Etelä-Eurooppa,Southern Europe
LT,Liettua,Lithuania,Itä-Eurooppa,Eastern Europe
LU,Luxemburg,Luxembourg,Läntinen Keski-Eurooppa,Western Central Europe
LV,Latvia,Latvia,Itä-Eurooppa,Eastern Europe
MT,Malta,Malta,Etelä-Eurooppa,Southern Europe
NL,Alankomaat,Netherlands,Läntinen Keski-Eurooppa,Western Central Europe
NO,Norja,Norway,Pohjoismaat,Nordic Countries
PL,Puola,Poland,Itä-Eurooppa,Eastern Europe
PT,Portugali,Portugal,Etelä-Eurooppa,Southern Europe
RO,Romania,Romania,Itä-Eurooppa,Eastern Europe
SE,Ruotsi,Sweden,Pohjoismaat,Nordic Countries
SI,Slovenia,Slovenia,Itä-Eurooppa,Eastern Europe
SK,Slovakia,Slovakia,Itä-Eurooppa,Eastern Europe
UK,Iso-Britannia,United Kingdom,Anglosaksiset maat,Anglosaxon Countries
FR,Ranska,France,Läntinen Keski-Eurooppa,Western Central Europe
CH,Sveitsi,Switzerland,Läntinen Keski-Eurooppa,Western Central Europe
