"","lon","lat","Paikkakunta"
"1",27.2734876,61.6858074,"Mikkeli"
"2",23.1574444,63.3021137,"Kortesjärvi"
"3",23.9167446,63.9004126,"Kannus"
"4",26.8805117,61.4176133,"mäntyharju"
"5",22.2666303,60.4518126,"Turku"
"6",27.2734876,61.6858074,"Mikkeli"
"7",23.1574444,63.3021137,"Kortesjärvi"
"8",23.9167446,63.9004126,"Kannus"
"9",26.8805117,61.4176133,"mäntyharju"
"10",22.2666303,60.4518126,"Turku"
"11",25.4714526,65.0126148,"Oulu"
"12",24.9410248,60.1733244,"Helsinki"
"13",23.8282368,63.1645566,"Vimpeli"
"14",25.0377329,60.2933664,"Vantaa"
"15",25.268977,60.376754,"Sipoo"
"16",-64.9209201,18.3319883,"ii"
"17",10.2378854,53.6764136,"Ahrensburg"
"18",23.2638836,61.7016711,"viljakkala"
"19",24.9410248,60.1733244,"helsinki"
"20",22.1689573,60.4859063,"Raisio"
"21",26.7041295,60.867886,"Kouvola"
"22",25.7266691,62.6040125,"ÄÄNEKOSKI"
"23",22.1758698,62.423575,"Kauhajoki"
"24",24.5341779,64.0721151,"ylivieska"
"25",24.6559001,60.2054911,"Espoo"
"26",24.0674996,60.251171,"Lohja"
"27",21.7974444,61.4851997,"Pori"
"28",23.7610254,61.4981508,"Tampere"
"29",22.7592186,62.490239,"Jalasjärvi"
"30",25.6758771,62.1291562,"muurame"
"31",24.8578826,60.6318105,"Hyvinkää"
"32",27.1938458,60.5692028,"Hamina"
"33",27.8039704,61.0615215,"Lemi"
"34",NA,NA,"Tepozlán"
"35",21.6165128,63.0951412,"vaasa"
"36",25.7472184,62.244747,"Jyväskylä"
"37",19.4898587,47.7490626,"Kallo"
"38",23.5960504,61.5495294,"Ylöjärvi"
"39",22.9097127,61.3415589,"Sastamala"
"40",24.8578826,60.6318105,"hyvinkää"
"41",28.7720669,61.1704554,"Imatra"
"42",28.1896259,61.0549412,"Lappeenranta"
"43",24.4790186,64.6846329,"Raahe"
"44",22.2666303,60.4518126,"turku"
"45",23.1354809,60.3909372,"Salo"
"46",26.0381008,61.2042303,"Heinola"
"47",29.7635297,62.6010899,"Joensuu"
"48",24.2477979,63.7716108,"Toholampi"
"49",25.6503169,60.9836925,"Lahti"
"50",25.6503169,60.9836925,"Lahtis"
"51",25.4714526,65.0126148,"oulu"
"52",23.7524484,61.3141111,"Lempäälä"
"53",25.9337117,60.948103,"nastola"
"54",24.9410248,60.1733244,"HELSINKI"
"55",24.8075808,60.4638105,"Nurmijärvi"
"56",-4.6249439,36.544148,"Fuengirola"
"57",27.1917194,63.557773,"Iisalmi"
"58",23.6332619,68.3838562,"Enontekiö"
"59",25.2553606,62.7066981,"Saarijärvi"
"60",23.501203,61.4803094,"nokia"
"61",25.0904083,60.473944,"Järvenpää"
"62",27.1458161,62.2977017,"pieksämäki"
"63",24.0674996,60.251171,"lohja"
"64",25.0904083,60.473944,"järvenpää"
"65",27.6793385,62.8933347,"kuopio"
"66",25.724999,66.4970216,"Rovaniemi"
"67",23.7610254,61.4981508,"TAMPERE"
"68",27.4292062,66.7136282,"Kemijärvi"
"69",21.8750009,61.4301935,"ulvila"
"70",21.6822203,63.1141149,"MUSTASAARI"
"71",24.7728925,60.7384937,"Riihimäki"
"72",21.9887018,60.6784795,"Mynämäki"
"73",22.9658562,59.8283461,"Hanko"
"74",26.3412322,63.17854,"Keitele"
"75",22.8332766,62.7952984,"Seinäjoki"
"76",27.8617615,61.8947473,"Juva"
"77",28.8850555,61.8687022,"Savonlinna"
"78",22.0250093,60.4660725,"Naantali"
"79",22.3987049,62.6171324,"Kurikka"
"80",5.8372264,51.8125626,"Nijmegen"
"81",22.3682407,60.4071689,"Kaarina"
"82",24.6229671,62.0318602,"Mänttä-Vilppula"
"83",23.620921,60.8132492,"Forssa"
"84",25.1020384,60.4009878,"Kerava"
"85",22.8978369,60.5854759,"Marttila"
"86",NA,NA,"vorssa"
"87",23.0650223,63.1011971,"Kauhava"
"88",23.4860684,63.3640657,"Evijärvi"
"89",30.3350986,59.9342802,"Pietari"
"90",25.6503169,60.9836925,"lahti"
"91",25.1896173,61.8638263,"Jämsä"
"92",27.6793385,62.8933347,"Kuopio"
"93",24.5643979,65.7362771,"Kemi"
"94",27.8778704,62.3118817,"Varkaus"
"95",22.9097127,61.3415589,"sastamala"
"96",27.0285297,69.9090465,"Utsjoki"
"97",28.6701181,66.8326525,"Salla"
"98",-1.6760691,42.6953909,"Navarra"
"99",88.216667,69.333333,"Norilsk"
"100",25.2716209,60.21872,"Uusimaa"
"101",25.6645682,60.3928369,"Porvoo"
"102",27.2994232,63.1551376,"Maaninka"
"103",18.133333,59.233333,"trångsund"
