ID_2,NAME_2,region
29343,Abinskiy rayon,Абинский район
29344,Anapa,подчиненные администрации г. Анапа
29345,Anapskiy rayon,Анапский район
29346,Apsheronskiy rayon,Апшеронский район
29347,Armavir,г. Армавир
29348,Beloglinskiy rayon,Белоглинский район
29349,Belorechensk,г. Белореченск
29350,Belorechenskiy rayon,Белореченский район
29351,Bryukhovetskiy rayon,Брюховецкий район
29352,Dinskiy rayon,Динской район
29353,Eysk,г. Ейск
29354,Eyskiy rayon,Ейский район
29355,Gelendzhik gorsovet,г. Геленджик
29356,Goryachiy Klyuch gorsovet,г. Горячий Ключ
29357,Gul'kevichskiy rayon,Гулькевичский район
29358,Kalininskiy rayon,Калининский район
29359,Kanevskiy rayon,Каневский район
29360,Kavkazskiy rayon,Кавказский район
29361,Korenovskiy rayon,Кореновский район
29362,Krasnoarmeyskiy rayon,Красноармейский район
29363,Krasnodar gorsovet,г. Краснодар
29364,Kropotkin,г. Кропоткин
29365,Krylovskiy rayon,Крыловский район
29366,Krymsk,г. Крымск
29367,Krymskiy rayon,Крымский район
29368,Kurganinskiy rayon,Курганинский район
29369,Kushchevskiy rayon,Кущевский район
29370,Labinsk,подчиненные администрации г. Лабинска
29371,Labinskiy rayon,Лабинский район
29372,Leningradskiy rayon,Ленинградский район
29373,Mostovskiy rayon,Мостовский район
29374,Novokubanskiy rayon,Новокубанский район
29375,Novopokrovskiy rayon,Новопокровский район
29376,Novorossiysk gorsovet,г. Новороссийск
29377,Otradnenskiy rayon,Отрадненский район
29378,Pavlovskiy rayon,Павловский район
29379,Primorsko-Akhtarskiy rayon,Приморско-Ахтарский район
29380,Severskiy rayon,Северский район
29381,Shcherbinovskiy rayon,Щербиновский район
29382,Slavyanskiy rayon,Славянский район
29383,Slavyansk-na-Kubani,г. Славянск-на-Кубани
29384,Sochi gorsovet,г. Сочи
29385,Starominskiy rayon,Староминский район
29386,Tbilisskiy rayon,Тбилисский район
29387,Temryukskiy rayon,Темрюкский район
29388,Tikhoretsk,г. Тихорецк
29389,Tikhoretskiy rayon,Тихорецкий район
29390,Timashevskiy rayon,Тимашевский район
29391,Tuapse,г. Туапсе
29392,Tuapsinskiy rayon,Туапсинский район
29393,Uspenskiy rayon,Успенский район
29394,Ust'-Labinskiy rayon,Усть-Лабинский район
29395,Vyselkovskiy rayon,Выселковский район
