ID_2,NAME_2,region
29615,Balashikha,
29616,Balashikhinskiy rayon,Балашихинский район
29617,Bronnitsy,г. Бронницы
29618,Chekhovskiy rayon,Чеховский район
29619,Dmitrovskiy rayon,Дмитровский район
29620,Dolgopudnyy,г. Долгопрудный
29621,Domodedovo,
29622,Domodedovskiy rayon,Домодедовский район
29623,Dubna,г. Дубна
29624,Egor'evsk,
29625,Egor'evskiy rayon,Егорьевский район
29626,Elektrostal',г. Электросталь
29627,Fryazino,г. Фрязино
29628,Istra,
29629,Istrinskiy rayon,Истринский район
29630,Ivanteevka,г. Ивантеевка
29631,Kashira,
29632,Kashirskiy rayon,Каширский район
29633,Khimki,
29634,Khimkinskiy rayon,Химкинский район
29635,Klimovsk,г. Климовск
29636,Klin,
29637,Klinskiy rayon,Клинский район
29638,Kolomenskiy rayon,Коломенский район
29639,Kolomna,г. Коломна
29640,Korolev,"Сельские населенные пункты, подчиненные администрации г. Королёв"
29641,Krasnoarmey,г. Красноармейск
29642,Krasnogorsk,
29643,Krasnogorskiy rayon,Красногорский район
29644,Leninskiy rayon,Ленинский район
29645,Lobnya,г. Лобня
29646,Lotoshinskiy rayon,Лотошинский район
29647,Lukhovitskiy rayon,Луховицкий район
29648,Lytkarino,г. Лыткарино
29649,Lyuberetskiy rayon,Люберецкий район
29650,Lyuberetsy,
29651,Moskva gorsovet,
29652,Mozhaysk,
29653,Mozhayskiy rayon,Можайский район
29654,Mytishchi,
29655,Mytishchinskiy rayon,Мытищинский район
29656,Naro-Fominsk,
29657,Naro-Fominskiy rayon,Наро-Фоминский район
29658,Noginsk,
29659,Noginskiy rayon,Ногинский район
29660,Odintsovo,
29661,Odintsovskiy rayon,Одинцовский район
29662,Orekhovo-Zuevo,г. Орехово-Зуево
29663,Orekhovo-Zuevskiy rayon,Орехово-Зуевский район
29664,Ozerskiy rayon,Озёрский район
29665,Ozery,
29666,Pavlovo-Posadskiy rayon,Павлово-Посадский район
29667,Podol'sk,г. Подольск
29668,Podol'skiy rayon,Подольский район
29669,Pushchino,Рузский район
29670,Pushkino,г. Пущино
29671,Pushkinskiy rayon,Пушкинский район
29672,Ramenskiy rayon,Раменский район
29673,Ramenskoe,
29674,Reutov,г. Реутов
29675,Ruzskiy rayon,
29676,Serebryano-Prudskiy rayon,Серебряно-Прудский район
29677,Sergiev Posad,г. Рошаль
29678,Sergievo-Posadskiy rayon,Сергиево-Посадский район
29679,Serpukhov,г. Серпухов
29680,Serpukhovskiy rayon,Серпуховский район
29681,Shakhovskoy rayon,Шаховской район
29682,Shatura,
29683,Shaturskiy rayon,Шатурский район
29684,Shchelkovskiy rayon,Щёлковский район
29685,Shchyolkovo,
29686,Solnechnogorsk,
29687,Solnechnogorskiy rayon,Солнечногорский район
29688,Stupino,
29689,Stupinskiy rayon,Ступинский район
29690,Taldomskiy rayon,Талдомский район
29691,Troitsk/Moskva,г. Троицк
29692,Vidnoe,
29693,Volokolamskiy rayon,Волоколамский район
29694,Voskresenskiy rayon,Воскресенский район
29695,Zaraysk,
29696,Zarayskiy rayon,Зарайский район
29697,Zheleznodorozhny,г. Железнодорожный
29698,Zhukovskiy,г. Жуковский
29699,Zvenigorod,"Сельские населенные пункты, подчиненные администрации г. Звенигород"
